Name,RA(J2000),DEC(J2000),Radius,magnitude
M 2-9,17 05 37.966,-10 08 32.650,0.5,14.30
Gaia DR2 4334886650491663104,17 06 08.439,-10 58 33.115,0.5,14.30
V455 Her,17 06 34.098,+20 08 05.838,0.5,-
V934 Her,17 06 34.503,+23 58 18.550,0.5,7.65
SS 295,17 07 38.148,-07 44 48.686,0.5,13.10
V2523 Oph,17 08 36.569,-17 26 30.500,0.5,12.15
Hen 3-1342,17 08 54.966,-23 23 36.546,0.5,13.32
GaSS 1-23,17 11 24.393,-12 14 20.068,0.5,13.32
Gaia DR3 4115323313821681664,17 11 33.442,-22 26 08.067,0.5,-
V2525 Oph,17 15 05.255,-09 23 50.083,0.5,11.90
Gaia DR3 4107401714890189312,17 15 18.805,-29 01 27.405,0.5,-
Gaia DR3 4108265793570393984,17 17 26.287,-26 42 21.468,0.5,-
Gaia DR2 4115021291723497088,17 17 45.665,-21 31 16.922,0.5,13.70
Gaia DR3 4107433119694152064,17 18 48.782,-29 03 14.493,0.5,-
GaSS 1-25,17 18 59.658,-17 47 37.905,0.5,11.56
XMMU J171919.8+575943,17 19 19.995,+57 59 43.105,0.5,18.41
Gaia DR3 4059377069854232192,17 19 30.656,-29 14 59.654,0.5,18.51
Draco C-1,17 19 57.657,+57 50 05.480,0.5,17.00
XMMU J172005.6+575759,17 20 05.652,+57 57 58.422,0.5,19.53
XMMU J172013.3+575051,17 20 13.387,+57 50 51.679,0.5,18.18
Th 3-7,17 21 02.535,-29 22 52.893,0.5,-
SS 305,17 21 33.851,+01 50 11.299,0.5,13.79
Gaia DR3 4107962740708907008,17 21 36.585,-27 39 01.811,0.5,-
Gaia DR3 4108064926532657280,17 21 50.607,-27 21 57.276,0.5,-
Gaia DR3 4059748159405759744,17 23 13.358,-28 42 13.673,0.5,-
Gaia DR3 4110050502732551936,17 23 43.815,-25 17 08.729,0.5,-
Gaia DR3 4059144768057168896,17 24 04.097,-29 28 57.702,0.5,-
Gaia DR3 4110870983327739008,17 24 39.950,-24 21 47.532,0.5,-
Gaia DR3 4059074601049589760,17 25 17.169,-29 48 34.722,0.5,-
Gaia DR2 4168021909706732672,17 25 26.334,-07 48 27.610,0.5,14.30
Gaia DR3 4059464038709683200,17 25 46.215,-29 30 19.595,0.5,18.47
Gaia DR3 4111334496151078784,17 26 00.082,-23 46 58.490,0.5,-
Gaia DR2 4111779763989583232,17 26 18.263,-22 12 46.411,0.5,14.10
Gaia DR3 4059990086328429440,17 26 25.233,-27 24 34.978,0.5,-
MaC 1-4,17 26 38.084,-16 48 30.086,0.5,-
Gaia DR3 4061498169567175296,17 26 44.084,-27 12 56.843,0.5,-
Gaia DR3 4059548456208839424,17 26 49.578,-29 01 05.117,0.5,-
Gaia DR3 4111339821910768128,17 26 54.608,-23 40 30.389,0.5,-
