Name,RA(J2000),DEC(J2000),Radius,magnitude
Aur,06 36 32.55,+35 35 43.3,0.5,15.7B-
Gem,07 04 08.67,+26 25 10.9,0.5,16.7B-
UMa,09 32 49.57,+47 25 23.0,0.5,17.8s-
Sex,09 44 31.70,+03 58 05.6,0.5,12.5V-16.3B
Leo,09 46 34.5,+13 50 58.1,0.5,16.3V-19.0V
Sex,10 39 46.99,-05 06 58.3,0.5,18.5V-
Oph,17 30 21.90,-05 59 32.1,0.5,16.3B-
Her,18 03 39.67,+40 12 20.6,0.5,18.0B-
AE Aqr,20 40 09.16,-00 52 15.1,0.5,9.8V-11.8V
Cyg,21 33 43.65,+51 07 24.5,0.5,15.8B-
Aqr1,22 38 43.83,+01 08 20.7,0.5,18.5j-
