Name,RA(J2000),DEC(J2000),Radius,magnitude
KR UMa,10 01 27.79,+55 53 28.0,0.5,-
Hya,10 02 11.71,-19 25 37.4,0.5,17B-
UMa2,10 05 29.30,+50 20 39.8,0.5,-
Hya,10 07 34.64,-20 17 32.4,0.5,18.0V-
Sex,10 09 32.2,-02 01 55.,0.5,14.3r-20.5p
Sex,10 10 37.05,+02 49 15.0,0.5,20.8s-
UMa,10 13 23.64,+45 58 58.9,0.5,18.9s-
UMa8,10 23 20.28,+44 05 09.9,0.5,14.5p-16.5p
Sex,10 23 47.68,+00 38 41.1,0.5,17.3V-17.8V
UMa,10 25 17.94,+43 02 21.2,0.5,19.9s-
Hya,10 25 22.,-15 42 24.,0.5,12.2V-
Leo5,10 28 00.11,+21 48 13.2,0.5,16.2V-
Leo,10 31 47.99,+08 52 24.3,0.5,18.8s-
Sex,10 35 33.03,+05 51 58.4,0.5,18.8g-
Sex,10 39 46.99,-05 06 58.3,0.5,18.5V-
UMa5,10 48 18.02,+52 18 29.8,0.5,16.5B-
Hya,10 50 10.80,-14 04 36.9,0.5,17.6V-
V391 Hya,10 58 27.59,-29 19 02.2,0.5,14.3V-
Leo,11 00 14.72,+13 15 52.1,0.5,18.7g-
FH Leo,11 06 07.46,+07 01 58.7,0.5,-
Leo1,11 06 40.22,+01 54 50.5,0.5,-
UMa,11 14 57.6,+33 49 37.,0.5,14.0p-17.p
CE UMa,11 16 11.,+29 22,0.5,15.5p-<21p
Leo2,11 17 03.50,+18 25 58.6,0.5,-
UMa3,11 19 31.32,+34 40 13.7,0.5,-
Leo6,11 22 13.11,+14 26 21.8,0.5,16.1B-
Leo,11 25 55.72,-00 16 38.6,0.5,19.6b-
AU Leo,11 30 14.31,+23 48 09.1,0.5,-
Leo3,11 31 14.40,+09 32 18.4,0.5,-
UMa,11 31 23.,+43 22 38.,0.5,-
UMa,11 32 15.49,+62 49 00.5,0.5,18.5s-
Vir,11 38 26.73,+06 19 19.5,0.5,18.9g-
T Leo,11 38 26.83,+03 22 07.1,0.5,10.0V-15.9V
UMa4,11 38 35.68,+57 52 27.3,0.5,-
Leo,11 42 45.84,+21 56 29.3,0.5,19.0B-
Dra,11 46 28.80,+67 59 09.6,0.5,18.8s-
Leo,11 48 03.12,+18 30 45.2,0.5,-
Leo4,11 49 00.58,+22 31 04.5,0.5,-
SW Crt,11 52 25.45,-24 31 01.2,0.5,-
UMa,11 53 24.73,+59 39 56.9,0.5,-
UMa,11 56 39.48,+63 09 07.7,0.5,20.7s-
BE UMa,11 57 44.78,+48 56 18.7,0.5,-
UMa,11 58 32.13,+43 56 54.0,0.5,12.5V-17.c
Crv,11 58 34.51,-22 33 33.5,0.5,16.2V-
Vir,11 59 22.03,-04 01 26.4,0.5,-
Vir1,11 59 51.80,+00 07 53.2,0.5,-
UMa,12 02 31.01,+45 03 49.1,0.5,20.0g-
Vir,12 10 05.34,-02 55 43.9,0.5,20.7b-
EG UMa,12 15 44.23,+52 31 03.4,0.5,-
Vir,12 16 07.03,+05 20 13.9,0.5,20.1s-
BE CVn,12 17 59.69,+40 33 09.9,0.5,16.0p-18.1p
CVn1,12 18 29.75,+40 05 22.3,0.5,12.0p-<14p
Com,12 19 14.15,+13 52 55.5,0.5,-
CVn,12 19 29.46,+47 15 22.8,0.5,17.7g-
Vir,12 19 57.72,-06 59 33.2,0.5,-
Dra7,12 22 20.18,+75 03 27.4,0.5,15.2v-
Vir,12 24 56.53,-00 11 32.4,0.5,20.7b-
Vir6,12 25 34.40,+12 53 58.4,0.5,14p-16p
CVn,12 27 40.83,+51 39 25.0,0.5,19.1g-
CQ Dra,12 30 06.76,+69 12 04.5,0.5,-
FU Com,12 30 51.46,+27 07 09.8,0.5,19.5p-21p
GT Com,12 30 53.20,+29 00 43.4,0.5,-
IM Com,12 31 15.43,+14 12 14.5,0.5,17.6B-18.5B
Vir,12 38 13.74,-03 39 32.9,0.5,17.8s-
Vir,12 40 58.03,-01 59 19.3,0.5,19.7b-
Vir5,12 43 25.93,+02 55 47.4,0.5,16.5V-17.5V
UMa,12 44 26.25,+61 35 14.6,0.5,18.8s-
TX CVn,12 44 42.08,+36 45 50.4,0.5,-
Vir,12 48 19.36,+07 20 49.4,0.5,16.7c-21.4s
FY Com,12 49 16.,+27 25 22.,0.5,19.5p-21p
Vir,12 49 59.76,+03 57 26.6,0.5,16.6s-
Dra,12 50 23.84,+66 55 25.4,0.5,18.7s-
LW Hya,12 53 32.86,-22 52 22.3,0.5,-
Com,12 55 10.56,+26 42 26.9,0.5,17.2B-19.0B
Vir,12 56 41.38,-01 58 51.9,0.5,20.1s-
Dra,12 58 34.76,+64 08 23.1,0.5,20.6s-
Dra,12 58 34.77,+66 35 51.6,0.5,20.2s-
RX Com,12 59 01.24,+15 09 40.0,0.5,-
Vir,13 00 25.51,+00 45 29.5,0.5,-
Vir,13 04 41.76,+01 03 30.8,0.5,20.7b-
UMa,13 05 14.73,+58 28 56.2,0.5,19.3s-
UMi,13 08 45.88,+70 26 17.8,0.5,-
Com,13 08 55.06,+29 24 25.6,0.5,17.5V-20.3V
AU CVn,13 10 28.69,+32 20 43.4,0.5,-
Vir2,13 16 38.46,+03 48 18.2,0.5,-
Vir,13 17 39.28,-12 32 51.8,0.5,-
Dra1,13 17 51.76,+67 31 59.6,0.5,-
UMa,13 18 00.67,+57 28 04.0,0.5,16.5B-
UMi,13 20 27.50,+87 49 01.4,0.5,16.2v-
Vir,13 24 11.57,+03 20 50.5,0.5,22.1s-
Dra,13 27 23.38,+65 28 54.4,0.5,17.8s-
Cam,13 28 56.46,+83 26 17.4,0.5,-
CVn2,13 29 33.72,+47 14 02.3,0.5,-
Vir,13 35 40.76,+05 07 22.7,0.5,18.5s-
UMa,13 36 02.13,+48 28 47.3,0.5,-
UMa,13 39 41.12,+48 47 27.5,0.5,17.6s-
CVn,13 42 09.75,+28 22 47.5,0.5,18.1V-18.3V
CVn,13 42 10.78,+28 22 39.7,0.5,20.1V-
DR UMa,13 59 05.5,+55 44 04.,0.5,17.5B-<18.2B
Vir,14 03 21.96,-01 46 50.2,0.5,20.5b-
Vir3,14 06 01.78,-11 18 32.7,0.5,-
AB Boo,14 06 47.,+20 48 25.,0.5,4.5v-
CT Boo,14 08 20.92,+53 30 40.1,0.5,17.0B-18.7B
Boo,14 11 18.31,+48 12 57.7,0.5,19.4s-
T Boo,14 14 06.,+19 03 54.,0.5,9.7v-18.5p
Vir,14 22 56.32,-02 21 08.0,0.5,19.5b-
Vir,14 24 38.93,-02 27 39.3,0.5,19.5b-
Vir,14 27 01.59,-01 23 10.3,0.5,15.1R-20.4R
Vir,14 28 33.44,+00 31 00.5,0.5,19.7b-
Boo,14 29 55.86,+41 45 16.8,0.5,17.7s-
Vir,14 30 39.41,-02 06 01.1,0.5,19.8B-
Boo,14 37 03.38,+23 42 27.9,0.5,16.5B-19.1V
UMi,14 38 28.35,+82 29 39.6,0.5,15.6v-
Boo,14 43 19.,+13 41 50.,0.5,-
Boo,14 46 00.54,+33 28 51.0,0.5,-
Dra2,14 46 57.10,+58 09 19.8,0.5,-
Vir,14 46 59.96,+02 53 30.4,0.5,18.2s-
Dra,14 50 03.12,+58 45 01.9,0.5,20.6s-
Lib3,14 50 38.62,-24 22 50.0,0.5,14.5p-14.8p
Boo,14 57 58.21,+51 48 07.9,0.5,19.5s-
Dra,15 01 37.23,+55 01 23.3,0.5,19.4V-21.0V
Lib1,15 02 12.16,-02 45 58.4,0.5,-
Boo,15 02 40.98,+33 34 23.9,0.5,17.6g-
Boo1,15 04 41.76,+08 47 52.7,0.5,18.5v-
Boo,15 07 22.33,+52 30 39.8,0.5,18.4s-
Dra8,15 08 47.33,+55 28 24.2,0.5,15p-
Lib4,15 10 06.27,-01 55 21.8,0.5,-
Boo,15 14 13.72,+45 49 11.9,0.5,19.7s-
Ser,15 14 53.67,+02 09 34.8,0.5,16.c-20.2V
Ser,15 18 14.46,+02 05 35.2,0.5,17.5p-20.9V
CrB,15 19 13.32,+26 17 20.8,0.5,-
Lib2,15 23 18.67,-05 11 43.3,0.5,-
Ser2,15 24 27.26,+12 02 06.9,0.5,-
Ser,15 28 57.87,+03 49 11.7,0.5,19.5s-
CrB,15 32 13.68,+37 01 04.8,0.5,17.4g-
Lib,15 36 16.00,-08 39 07.6,0.5,11.5V-<15.4V
CrB,15 36 34.42,+33 28 51.9,0.5,19.2s-
PQ Ser,15 37 53.81,+21 26 26.4,0.5,8.1V-
Boo,15 38 17.34,+51 23 38.0,0.5,18.6s-
Ser,15 40 41.5,-00 27 03.2,0.5,15.2c-21.6s
CrB,15 41 04.67,+36 02 52.9,0.5,19.7s-
Her,15 50 37.27,+40 54 40.0,0.5,18.6s-
CrB,15 52 52.48,+32 01 50.9,0.5,20.2s-
NN Ser,15 52 56.20,+12 54 47.2,0.5,-
Dra,15 53 31.11,+55 16 14.5,0.5,18.5s-
CrB,15 54 12.34,+27 21 52.4,0.5,16.8B-
Ser,15 55 31.99,-00 10 55.0,0.5,19.4s-
Ser,15 56 44.23,-00 09 50.3,0.5,14.7c-18.1s
CrB,15 56 56.92,+35 23 36.6,0.5,18.4g-
T CrB,15 59 30.16,+25 55 12.6,0.5,2.0p-11.3p
Ser,16 01 11.53,+09 17 12.7,0.5,20.1g-
Her,16 04 50.19,+41 43 28.6,0.5,17.7s-
CrB,16 07 45.02,+36 23 20.7,0.5,18.1g-
Ser,16 10 07.51,+03 52 33.0,0.5,15.9V-
Her,16 10 30.35,+44 59 01.7,0.5,19.8s-
Ser,16 10 33.61,-01 02 22.9,0.5,19.1s-
V794 Sco,16 11 03.69,-09 50 37.7,0.5,16.0p-17.3p
Ser,16 13 04.4,+01 21 24.4,0.5,17.5c-20.4R
Oph,16 13 30.82,-05 18 38.6,0.5,11.5p-21j
Ser,16 13 32.56,-00 03 31.1,0.5,15.2R-18.6s
UMi1,16 14 23.39,+70 58 18.3,0.5,-
Sco,16 16 59.8,-22 58 18.0,0.5,19.0x-22.0x
Sco,16 17 01.60,-22 58 28.0,0.5,-
Sco,16 17 02.01,-22 58 33.0,0.5,-
Sco,16 17 02.10,-22 58 31.8,0.5,-
Sco,16 17 02.2,-22 58 37.9,0.5,19.5x-21.5x
Sco,16 17 02.58,-22 58 36.5,0.5,-
T Sco,16 17 02.83,-22 58 31.3,0.5,7v-22.2B
Her1,16 19 49.33,+14 53 11.1,0.5,-
CrB,16 22 12.45,+34 11 47.3,0.5,19.2s-
Sco,16 23 34.13,-26 31 34.9,0.5,17.4V-
Sco,16 23 34.32,-26 30 39.3,0.5,21.7V-
Sco,16 23 46.40,-26 31 15.7,0.5,24.1V-
Her,16 26 08.16,+33 28 27.8,0.5,18.4s-
TU Oph,16 26 39.22,-22 18 58.6,0.5,-
Her,16 28 30.89,+24 02 59.1,0.5,19.8g-
UMi,16 29 23.49,+86 26 01.1,0.5,-
Her,16 29 36.53,+26 35 19.6,0.5,19.3s-
UMi,16 30 59.1,+69 50 06.,0.5,20.4V-
Dra,16 31 25.84,+73 54 11.8,0.5,18.3V-
Her,16 36 05.01,+46 52 04.5,0.5,16.7s-
Oph,16 37 22.22,-00 19 57.3,0.5,16.6s-20s
Her3,16 41 22.41,+33 44 53.2,0.5,-
Her,16 41 43.68,+36 28 04.7,0.5,22.1V-
Her,16 41 45.1,+36 27 39.,0.5,21.0V-
V610 Her,16 43 39.16,+22 31 25.4,0.5,16.2p-<16.8p
Her,16 43 45.70,+34 02 39.6,0.5,12.6V-
AC Sco,16 46 45.91,-27 24 25.2,0.5,12.5p-<16p
AF Sco,16 50 25.58,-25 33 37.5,0.5,-
Her,16 52 44.84,+33 39 25.4,0.5,18.8s-
Her,16 53 59.06,+20 10 10.4,0.5,14.8V-17.5g
V840 Oph,16 54 43.92,-29 37 26.8,0.5,6.5p-19.3V
Her,16 56 58.13,+21 21 39.3,0.5,18.5s-
Dra,16 57 26.55,+65 31 04.9,0.5,-
Her,16 58 37.70,+18 47 27.4,0.5,20.1g-
Her,16 59 51.69,+19 27 45.6,0.5,16.8g-
Her,17 00 53.30,+40 03 57.7,0.5,19.4s-
V1235 Oph,17 01 49.99,-20 21 00.5,0.5,17.0p-<20.8p
Her,17 02 13.25,+32 29 54.2,0.5,17.4V-19.1V
Her,17 02 44.09,+22 35 47.9,0.5,17.4g-
Her,17 03 24.09,+32 09 53.2,0.5,18.2s-
V1326 Oph,17 05 02.3,-18 59 29.3,0.5,17.9p-<20.2p
Her,17 05 42.54,+31 32 40.7,0.5,19.7s-
Her,17 06 06.12,+25 51 53.3,0.5,16.5c-<19.5c
V2101 Oph,17 09 38.05,-27 18 56.2,0.5,-
Dra,17 11 20.48,+56 35 34.1,0.5,-
V1548 Oph,17 11 26.,-16 20 19.,0.5,-
Her,17 11 45.08,+30 13 20.1,0.5,20.3s-
Dra,17 12 47.71,+60 46 03.3,0.5,20.0s-
UMi,17 13 06.,+83 18 45.,0.5,13.5v-21v
Her4,17 13 50.33,+49 16 10.9,0.5,-
V360 Her,17 16 38.04,+24 26 47.3,0.5,-
Her,17 17 06.56,+43 08 24.4,0.5,22.6U-
V2573 Oph,17 19 14.09,-27 22 35.2,0.5,10.6V-
V2264 Oph,17 20 20.83,-26 46 26.3,0.5,9.9v-<21p
Her,17 22 43.95,+27 23 55.5,0.5,20.6B-
V2109 Oph,17 24 15.93,-24 36 50.2,0.5,10.8r-18j
BB Oph,17 24 30.02,-24 48 06.1,0.5,11.3p-19j
V2295 Oph,17 25 06.41,-23 11 11.1,0.5,9.0V-<21.V
Dra,17 26 01.96,+54 32 30.8,0.5,20.5s-
V906 Oph,17 26 09.7,-21 54 28.,0.5,8.4 -<13p
V809 Her,17 27 27.66,+45 30 39.9,0.5,-
V908 Oph,17 27 51.,-27 45,0.5,11.5p-<14p
UMi,17 29 34.,+82 26 48.,0.5,14v-21v
Dra,17 30 08.36,+62 47 54.5,0.5,15.9s-
Oph,17 30 21.90,-05 59 32.1,0.5,16.3B-
V1063 Oph,17 30 53.,+10 17 00.,0.5,15.5p-<17.5p
V2487 Oph,17 31 59.8,-19 13 56.,0.5,9.5p-17.7p
V2313 Oph,17 35 44.61,-19 19 34.1,0.5,7.5V-<12.5V
Oph,17 37 38.19,-03 14 41.8,0.5,15.6p-21v
V794 Oph,17 38 49.23,-22 50 48.9,0.5,11.7p-18p
Her,17 39 29.,+21 11,0.5,13p-
RT Ser,17 39 51.93,-11 56 38.8,0.5,-
V810 Oph,17 40 49.44,+07 02 34.7,0.5,-
V1012 Oph,17 41 34.38,-23 23 33.1,0.5,13.8p-22j
V2024 Oph,17 42 21.,-24 59,0.5,11.0v-<18
V553 Oph,17 42 53.50,-24 51 26.2,0.5,12.5p-22j
V2290 Oph,17 43 05.5,-20 06 55.,0.5,9.3v-<19j
V2110 Oph,17 43 33.38,-22 45 35.3,0.5,12.0p-20j
Sgr,17 45 08.6,-25 44 01.0,0.5,16.9r-
Sgr,17 45 32.7,-29 05 52.,0.5,-
Sgr,17 46 37.38,-22 45 08.6,0.5,18.7I-20.2I
V4744 Sgr,17 47 21.63,-23 28 21.4,0.5,9.7R-<20.R
Sgr,17 47 32.94,-23 27 23.9,0.5,16.5I-21.3I
Sgr,17 48 03.54,-24 46 49.2,0.5,-
Sgr,17 48 04.06,-24 46 40.5,0.5,-
Sgr,17 48 04.21,-24 46 41.7,0.5,-
Sgr,17 48 04.37,-24 47 03.7,0.5,-
Sgr,17 48 04.40,-24 46 38.1,0.5,-
Her,17 48 05.83,+34 04 01.5,0.5,16.2c-<20.0c
V3888 Sgr,17 48 40.55,-18 45 36.8,0.5,9.0v-21.0V
Sgr,17 48 51.87,-20 21 33.9,0.5,-
Sgr,17 48 51.99,-20 21 46.6,0.5,-
Sgr,17 48 52.08,-20 21 23.6,0.5,-
Sgr,17 48 52.31,-20 21 34.3,0.5,-
Sgr,17 48 52.43,-20 21 38.5,0.5,-
Sgr,17 48 52.54,-20 21 34.7,0.5,-
Sgr,17 48 52.58,-20 21 32.6,0.5,-
Sgr,17 48 52.68,-20 21 36.7,0.5,-
Sgr,17 48 52.71,-20 21 38.2,0.5,-
Sgr,17 48 52.73,-20 21 41.6,0.5,-
Sgr,17 48 52.85,-20 21 33.6,0.5,-
Sgr,17 48 52.87,-20 21 31.3,0.5,-
Sgr,17 48 52.89,-20 21 35.5,0.5,-
Sgr,17 48 52.90,-20 21 49.9,0.5,-
Sgr,17 48 52.94,-20 21 39.6,0.5,-
Sgr,17 48 53.12,-20 21 27.0,0.5,-
Sgr,17 48 53.21,-20 21 33.4,0.5,-
Sgr,17 48 53.23,-20 21 44.0,0.5,-
Sgr,17 48 53.32,-20 21 41.7,0.5,-
V1274 Sgr,17 48 55.,-17 52,0.5,9.5p-<13.0p
V378 Ser,17 49 24.57,-12 59 59.2,0.5,11.8V-<19.5p
V3964 Sgr,17 49 42.55,-17 23 35.4,0.5,9.4p-<17p
RS Oph,17 50 13.16,-06 42 28.5,0.5,4.3v-12.5v
V759 Sgr,17 50 19.69,-27 25 02.4,0.5,13.6p-16.0p
V1172 Sgr,17 50 23.55,-20 40 30.3,0.5,9.0p-18j
Her6,17 51 00.05,+45 00 41.5,0.5,-
LW Ser,17 51 50.89,-14 43 50.6,0.5,8.3v-20.6B
KW Sgr,17 52 00.80,-28 01 21.0,0.5,-
V4334 Sgr,17 52 32.69,-17 41 07.7,0.5,-
V982 Oph,17 52 38.49,+07 33 04.4,0.5,15.3p-<17.2p
V2415 Sgr,17 53 12.,-29 34 25.,0.5,13p-<18p
Sgr,17 53 40.45,-29 33 44.1,0.5,18.0I-19.8I
V4092 Sgr,17 53 41.99,-29 02 08.4,0.5,10.5v-
Sgr,17 53 47.73,-29 44 37.9,0.5,17.6I-20.3I
V4643 Sgr,17 54 40.46,-26 14 15.2,0.5,8.1V-16.V
Sgr,17 54 43.,-28 41 41.,0.5,13 -
Sgr,17 55 05.98,-29 20 32.7,0.5,20.1V-
V4642 Sgr,17 55 09.84,-19 46 01.0,0.5,10.4V-<19.V
MU Ser,17 55 52.78,-14 01 17.1,0.5,7.7v-<21p
V732 Sgr,17 56 07.49,-27 22 17.9,0.5,6.5p-<16.0p
V990 Sgr,17 57 19.,-28 19 07.,0.5,11.1p-<14.7p
V3889 Sgr,17 58 21.32,-28 21 52.7,0.5,8.4v-21j
Sgr,17 58 32.45,-27 52 44.4,0.5,16.0V-19.7V
Sgr,17 58 53.58,-29 18 59.7,0.5,19.1I-20.7I
V2435 Sgr,17 58 54.98,-29 00 37.8,0.5,-
V4338 Sgr,17 59 18.17,-29 09 52.9,0.5,8.0v-<14v
V2446 Sgr,17 59 23.31,-29 02 16.7,0.5,-
V4683 Sgr,17 59 39.61,-25 13 30.3,0.5,-
V2468 Sgr,17 59 48.54,-29 01 03.7,0.5,17.4p-18.2p
V735 Sgr,17 59 51.82,-29 33 55.9,0.5,13.5p-16.5p
Sgr,18 00 01.22,-29 50 38.5,0.5,18.7V-20.7V
Sgr,18 00 01.25,-29 02 06.4,0.5,19.9V-
V1944 Sgr,18 00 36.9,-27 17 12.,0.5,13p-
V2493 Sgr,18 00 40.93,-29 00 12.8,0.5,-
Sgr,18 00 51.55,-29 56 52.0,0.5,18.0V-20.5V
DZ Ser,18 00 58.86,-10 33 52.1,0.5,14.0p-21p
Sgr,18 01 00.00,-28 24 18.2,0.5,17.5V-19.7V
Sgr,18 01 14.89,-28 36 24.0,0.5,18.6I-20.6I
Sgr,18 01 15.62,-27 27 47.2,0.5,-
Sgr,18 01 20.13,-28 25 57.3,0.5,-
KY Sgr,18 01 20.9,-26 24 40.9,0.5,10.6p-20j
Sgr,18 01 32.71,-28 52 23.9,0.5,-
Sgr,18 01 35.45,-29 07 30.6,0.5,17.8V-20.6V
V2561 Oph,18 01 48.75,+07 00 49.6,0.5,16.1c-<18.5c
Sgr,18 01 56.22,-27 22 55.2,0.5,15.1V-16.9V
Sgr,18 02 05.03,-28 18 33.3,0.5,17.5V-19.7V
Sgr,18 02 25.95,-29 39 40.6,0.5,19.8V-
V4027 Sgr,18 02 29.21,-28 45 19.9,0.5,11.0r-<21j
Sgr,18 02 40.21,-29 19 20.1,0.5,19.7V-
Sgr,18 02 51.70,-29 15 13.9,0.5,-
Sgr,18 03 01.33,-28 01 45.1,0.5,19.3V-
V5099 Sgr,18 03 06.09,-27 30 44.8,0.5,15.4V-19.2V
Sgr,18 03 24.67,-28 17 23.5,0.5,-
V2104 Oph,18 03 25.01,+11 47 57.1,0.5,8.8v-20.5V
V1431 Sgr,18 03 29.61,-29 59 54.9,0.5,17.2p-<19.2p
AT Sgr,18 03 30.87,-26 28 28.5,0.5,11.0p-19j
Her,18 03 39.67,+40 12 20.6,0.5,18.0B-
Sgr,18 03 57.15,-27 52 42.9,0.5,-
Sgr,18 03 58.77,-28 47 39.3,0.5,-
V2335 Oph,18 04 17.3,+04 43 44.,0.5,15.0p-<21.0b
Sgr,18 04 47.20,-27 07 48.3,0.5,17.7V-19.3V
Sgr,18 04 51.67,-28 11 46.1,0.5,18.9I-20.4I
Sgr,18 05 07.12,-27 43 09.1,0.5,16.1V-17.6V
Sgr,18 05 08.58,-29 16 52.0,0.5,-
Sgr,18 05 12.,-29 54 23.,0.5,10.5 -
Sgr,18 05 32.38,-28 50 57.2,0.5,-
Sgr,18 05 34.36,-29 12 04.6,0.5,17.8I-19.8I
Sgr,18 05 34.86,-28 30 04.7,0.5,-
V1008 Her,18 05 46.32,+31 40 18.0,0.5,13.5p-19.3B
Sgr,18 05 53.59,-28 03 29.8,0.5,18.6V-
Sgr,18 06 11.57,-28 07 46.3,0.5,-
V1014 Sgr,18 06 45.7,-27 26 15.3,0.5,10.9p-20j
V908 Sgr,18 07 08.66,-28 44 52.3,0.5,-
V737 Sgr,18 07 08.72,-28 44 52.1,0.5,10.3p-19j
Sgr,18 07 10.64,-26 57 06.6,0.5,18.6I-20.2I
Sgr,18 07 17.88,-25 52 56.9,0.5,-
Sgr,18 07 31.11,-22 05 33.1,0.5,-
Sgr,18 07 33.83,-29 00 37.8,0.5,20.8V-
V4444 Sgr,18 07 36.22,-27 20 13.5,0.5,7.7V-<21.V
Sgr,18 07 36.95,-27 20 09.1,0.5,16.7I-21.0I
Sgr,18 07 51.71,-25 53 55.5,0.5,19.6V-21.3V
V4121 Sgr,18 07 54.77,-28 49 26.8,0.5,9.5v-21j
Sgr,18 07 57.21,-27 33 28.8,0.5,-
Sgr,18 07 57.61,-29 18 14.6,0.5,17.8V-19.8V
Sgr,18 08 07.97,-26 13 14.4,0.5,16.6I-<19.0I
Sgr,18 08 13.35,-27 18 00.9,0.5,-
Sgr,18 08 30.52,-25 21 49.2,0.5,17.4V-18.9V
V631 Her,18 08 44.,+34 27 34.,0.5,16.2p-<21p
Sgr,18 08 50.26,-26 10 57.4,0.5,-
Sgr,18 08 50.65,-27 01 28.1,0.5,19.0I-20.5I
Sgr,18 08 51.2,-26 16 12.,0.5,-
V1148 Sgr,18 09 06.,-25 59 32.,0.5,8.0p-<16p
Sgr,18 09 13.79,-29 47 36.4,0.5,19.8V-
V4157 Sgr,18 09 34.9,-25 51 58.2,0.5,7.0p-<21j
Sgr,18 09 52.27,-26 30 21.6,0.5,17.9I-20.4I
PU Her,18 09 52.35,+32 00 33.0,0.5,15.5p-19.5p
Sgr,18 09 58.18,-26 20 58.6,0.5,18.5I-20.5I
Sgr,18 10 17.16,-26 41 10.0,0.5,-
Sgr,18 10 30.87,-27 27 26.7,0.5,18.2V-20.1V
Sgr,18 10 35.23,-26 23 38.6,0.5,16.9I-19.9I
Sgr,18 10 37.44,-26 20 00.1,0.5,16.8I-<19.1I
V2506 Sgr,18 11 01.68,-28 32 39.0,0.5,-
Sgr,18 11 19.54,-25 49 45.7,0.5,19.0I-20.7I
Sgr,18 11 51.18,-26 26 48.6,0.5,15.8I-<19.1I
Sgr,18 12 20.91,-26 14 02.9,0.5,20.5V-
V4327 Sgr,18 12 49.82,-29 29 04.9,0.5,7.7v-
Sgr,18 13 21.75,-27 48 36.6,0.5,-
V1830 Sgr,18 13 50.63,-27 42 20.8,0.5,11.5p-17.5p
Sgr,18 13 51.50,-26 07 35.2,0.5,-
V1010 Her,18 14 14.31,+30 43 37.0,0.5,17.8p-19.5p
V3909 Sgr,18 14 22.01,-27 51 04.8,0.5,-
Dra,18 14 29.83,+61 23 34.5,0.5,-
Sgr,18 14 34.84,-22 37 42.4,0.5,17.6V-20.6V
Sgr,18 14 42.54,-26 22 10.3,0.5,-
V1583 Sgr,18 15 26.3,-23 23 18.2,0.5,8.9p-21j
Sgr,18 15 34.42,-23 59 12.6,0.5,-
Sgr,18 15 41.56,-22 56 22.8,0.5,-
Sgr,18 15 46.93,-22 58 47.8,0.5,-
Sgr,18 15 47.28,-23 17 29.7,0.5,-
Sgr,18 15 54.30,-23 42 23.5,0.5,18.5I-20.7I
V2323 Sgr,18 15 54.97,-27 57 08.4,0.5,-
Sgr,18 15 57.73,-25 15 33.1,0.5,-
Sgr,18 16 05.96,-23 02 38.9,0.5,25.2V-
Sgr,18 16 17.87,-23 38 55.6,0.5,18.3I-20.3I
V2329 Sgr,18 16 25.15,-27 52 57.5,0.5,-
Sgr,18 16 33.59,-23 52 03.2,0.5,17.4I-19.1I
Sgr,18 16 48.52,-22 03 14.3,0.5,-
Sgr,18 16 56.78,-23 29 50.9,0.5,14.0I-<19.0I
V5115 Sgr,18 16 58.96,-25 56 38.9,0.5,7.8c-
Sgr,18 17 00.49,-23 13 02.8,0.5,-
Sgr,18 17 17.88,-24 13 50.3,0.5,18.0I-20.2I
FM Sgr,18 17 18.1,-23 38 27.1,0.5,8.6p-20.5j
Sgr,18 17 29.87,-23 43 55.9,0.5,17.0V-19.8V
Sgr,18 17 32.98,-21 59 12.7,0.5,18.7V-20.9V
Sgr,18 17 39.73,-25 40 24.3,0.5,-
Sgr,18 17 48.46,-29 52 14.0,0.5,17.9V-19.7V
Sgr,18 17 54.72,-23 50 25.7,0.5,-
Sgr,18 17 57.85,-25 47 02.2,0.5,17.7V-19.4V
Sgr,18 18 25.94,-23 55 30.8,0.5,-
V1149 Sgr,18 18 30.4,-28 17 17.,0.5,7.4p-21j
Sgr,18 18 49.85,-23 36 38.2,0.5,-
Sgr,18 18 50.30,-23 36 14.9,0.5,21.9V-
V1150 Sgr,18 18 54.,-24 05 44.,0.5,13.3p-<22j
V928 Sgr,18 18 59.3,-28 06 00.,0.5,8.9p-20.5j
GM Sgr,18 19 21.53,-25 25 37.7,0.5,-
V4641 Sgr,18 19 21.58,-25 24 25.1,0.5,-
V5114 Sgr,18 19 32.29,-28 36 35.7,0.5,8.4V-<17.5r
V4065 Sgr,18 19 38.,-24 43 56.,0.5,9.0v-<14.0v
V632 Her,18 19 41.26,+24 33 15.7,0.5,15.4p-21p
Sgr,18 19 48.99,-25 18 37.7,0.5,-
V1016 Sgr,18 19 57.67,-25 11 14.0,0.5,8.5p-17p
Sgr,18 20 10.90,-22 13 22.3,0.5,17.9I-20.3I
V4049 Sgr,18 20 38.06,-27 56 26.0,0.5,12p-21j
Sgr,18 20 47.27,-22 03 14.4,0.5,18.1I-19.9I
Sgr,18 20 49.54,-22 22 29.6,0.5,19.2I-20.5I
V391 Lyr,18 21 11.98,+38 47 42.1,0.5,14.0p-17.0p
Sgr,18 21 15.35,-22 04 05.7,0.5,17.5I-20.5I
V441 Sgr,18 22 08.09,-25 28 53.7,0.5,8.7p-
Sgr,18 22 41.28,-21 45 24.2,0.5,18.0I-20.5I
GR Sgr,18 22 58.55,-25 34 47.3,0.5,11.4p-16.6p
Sct,18 23 01.2,-04 37 19.,0.5,-20.p
Sgr,18 23 10.85,-21 23 06.6,0.5,18.8I-20.6I
